Player,ATT,RUSH YDS,RUSH TDS,REC,REC YDS,REC TDS,FL,Points
Dontrelle Inman,0.0,0.0,0.0,17.2,238.6,1.2,0.3,30.6
Cordarrelle Patterson,4.9,36.5,0.1,18.9,192.9,1.2,0.2,30.5
Ricardo Louis,0.0,-0.1,0.0,22.0,258.0,0.8,0.2,30.2
Chad Hansen,0.0,0.0,0.0,17.5,226.5,1.1,0.3,28.7
Justin Hardy,0.0,0.0,0.0,16.1,191.1,1.6,0.1,28.6
Philly Brown,1.0,3.6,0.0,15.4,181.0,1.6,0.2,27.7
Aldrick Robinson,1.0,5.8,0.0,14.5,207.9,1.1,0.2,27.4
Michael Floyd,0.0,0.0,0.0,15.8,195.3,1.3,0.1,27.3
TJ Jones,0.1,0.2,0.0,16.5,211.3,1.3,0.9,27.0
Chester Rogers,0.0,0.0,0.0,15.5,204.8,1.1,0.2,26.5
Justin Hunter,0.0,0.0,0.0,12.1,165.0,1.5,0.2,25.1
Jalin Marshall,0.0,0.0,0.0,16.2,194.3,1.0,0.9,23.9
Chad Williams,0.0,0.0,0.0,13.9,177.1,1.0,0.4,23.0
Brian Quick,0.0,0.0,0.0,14.3,181.7,0.7,0.1,22.2
Demarcus Robinson,0.0,0.0,0.0,12.2,157.8,0.9,0.1,21.2
Chris Moore,1.1,7.4,0.0,13.9,158.9,0.5,0.1,19.5
Bennie Fowler,0.0,0.0,0.0,12.7,157.1,0.6,0.1,19.4
Sammie Coates,1.3,9.9,0.1,8.2,141.1,0.6,0.1,18.9
Kasen Williams,0.1,-0.2,0.0,11.6,141.4,0.7,0.0,18.5
Roger Lewis,0.0,0.0,0.0,11.5,144.2,0.7,0.2,18.4
Rashard Higgins,0.0,0.0,0.0,11.6,139.7,0.7,0.1,17.9
Deonte Thompson,0.0,0.0,0.0,11.8,140.3,0.8,0.4,17.8
Jarius Wright,0.1,0.3,0.0,13.7,156.1,0.2,0.1,16.9
Jordan Taylor,0.0,0.0,0.0,9.4,130.2,0.7,0.4,16.5
Andre Roberts,0.0,0.0,0.0,9.5,122.6,0.8,0.3,16.4
Chris Harper,0.0,0.0,0.0,11.2,136.5,0.5,0.3,16.2
Jared Abbrederis,0.2,2.3,0.0,12.3,141.3,0.3,0.0,16.1
Tajae Sharpe,0.0,0.2,0.0,10.2,126.1,0.6,0.1,16.0
Josh Reynolds,0.0,0.0,0.0,9.3,119.0,0.7,0.3,15.7
Darrius Heyward-Bey,0.2,4.7,0.0,6.8,112.1,0.5,0.0,14.6
