,,,Passing,Rushing,Receiving,Misc,Fum,Fantasy
Player,Opp,GP,Yds,TD,Int,Yds,TD,Yds,TD,FumTD,2PT,Lost,Points
"EJ Manuel QB - oak","@TEN","-","-","-","-","-","-","-","-","-","-","-","0.00"
"Luke McCown QB","Bye","-","-","-","-","-","-","-","-","-","-","-","0.00"
"Matt McGloin QB - phi","@WAS","-","-","-","-","-","-","-","-","-","-","-","0.00"
"Zach Mettenberger QB","Bye","-","-","-","-","-","-","-","-","-","-","-","0.00"
"Aaron Murray QB","Bye","-","-","-","-","-","-","-","-","-","-","-","0.00"
"Ryan Nassib QB - no","@MIN","-","-","-","-","-","-","-","-","-","-","-","0.00"
"Nathan Peterman QB - buf","NYJ","-","-","-","-","-","-","-","-","-","-","-","0.00"
"Tony Romo QB","Bye","-","-","-","-","-","-","-","-","-","-","-","0.00"
"Mark Sanchez QB - chi","ATL","-","-","-","-","-","-","-","-","-","-","-","0.00"
"Connor Shaw QB - chi","ATL","-","-","-","-","-","-","-","-","-","-","-","0.00"
"Joel Stave QB - kc","@NE","-","-","-","-","-","-","-","-","-","-","-","0.00"
"Tim Tebow QB","Bye","-","-","-","-","-","-","-","-","-","-","-","0.00"
"Deshaun Watson QB - hou","JAX","-","-","-","-","-","-","-","-","-","-","-","0.00"
"Davis Webb QB - nyg","@DAL","-","-","-","-","-","-","-","-","-","-","-","0.00"
"T.J. Yates QB - buf","NYJ","-","-","-","-","-","-","-","-","-","-","-","0.00"
