"Rank","Player","Team","Bye","Best","Worst","Avg","Std Dev","ADP","vs. ADP"
"124","Kenjon Barner","LAC","9","80","145","104.1","21.2","96.0","-28.0"
"125","Terron Ward","ATL","5","91","121","104.9","9.2","",""
"126","Alex Collins","SEA","6","84","122","105.7","11.6","",""
"127","Ka'Deem Carey","CHI","9","73","150","105.9","21.7","",""
"128","Marcel Reece","SEA","6","93","121","107.0","14.0","",""
"129","Jamize Olawale","OAK","10","83","122","107.6","11.9","",""
"130","Matt Asiata","DET","7","83","138","108.5","19.5","",""
"131","Travaris Cadet","NO","5","88","124","108.5","12.9","",""
"132","Devante Mays","GB","8","108","113","110.5","2.5","",""
"133","Andre Williams","LAC","9","81","129","110.6","15.5","",""
"134","Josh Ferguson","IND","11","81","195","111.5","31.0","",""
"135","Rod Smith","DAL","6","84","189","112.2","31.3","",""
"136","Matt Dayes","FA","","103","134","112.3","12.8","",""
"137","Daniel Lasco","NO","5","79","153","112.9","24.4","90.0","-47.0"
"138","De'Anthony Thomas","KC","10","96","127","113.0","12.8","",""
"139","Mack Brown","WAS","5","93","138","115.5","22.5","",""
"140","Anthony Sherman","KC","10","102","129","115.5","13.5","",""
"141","Andy Janovich","DEN","5","95","131","117.4","13.3","",""
"142","Patrick DiMarco","BUF","6","102","142","117.9","11.8","",""
"143","T.J. Logan","ARI","8","86","173","118.0","28.8","107.0","-36.0"
"144","Terrell Watson","PIT","9","95","144","120.5","18.0","",""
"145","Tyler Ervin","HOU","7","82","177","120.6","30.4","",""
"146","Khalfani Muhammad","TEN","8","101","141","120.6","14.2","",""
"147","Kapri Bibbs","SF","11","101","137","121.0","11.2","",""
"148","Darrel Young","CAR","11","117","125","121.0","4.0","",""
"149","Jonathan Grimes","JAC","8","88","183","122.1","30.6","",""
"150","Jalston Fowler","TEN","8","110","146","123.2","13.0","",""
"151","Derek Watt","LAC","9","118","130","124.0","6.0","",""
"152","Dan Vitale","CLE","9","105","143","124.8","12.7","",""
"153","Akeem Hunt","HOU","7","105","152","125.1","16.7","",""
"154","Knile Davis","PIT","9","110","140","125.6","10.9","109.0","-45.0"
