Player,RUSH ATT,RUSH YDS,RUSH TDS,REC,REC YDS,REC TDS,FL,Points,Value,ADP,STD DEV,ADP DIF
Branden Oliver,53.5,201.3,1.0,13.0,105.8,0.3,1.5,35.51,-75.2466666667,86.0,7.6,5.0
Donnel Pumphrey,51.2,207.1,1.0,11.7,88.9,0.3,1.2,35.0,-75.7566666667,79.0,10.1,-16.0
Kyle Juszczyk,6.5,25.1,0.2,26.6,212.9,1.4,0.0,33.4,-77.3566666667,72.0,12.7,-16.0
Chris Ivory,55.5,221.0,1.4,9.4,72.4,0.0,2.4,32.94,-77.8166666667,78.0,8.5,0.0
Javorius Allen,51.6,195.9,0.9,11.4,80.3,0.2,0.8,32.62,-78.1366666667,92.0,9.6,9.0
Kenyan Drake,40.5,173.8,1.2,9.8,75.9,0.2,0.7,31.97,-78.7866666667,82.0,9.1,-4.0
Orleans Darkwa,48.3,183.3,1.4,7.6,53.2,0.2,0.8,31.65,-79.1066666667,94.0,22.4,7.0
Jeremy Langford,43.5,166.7,1.1,9.0,70.5,0.2,0.2,31.12,-79.6366666667,84.0,10.5,0.0
Elijah McGuire,43.6,175.7,0.9,9.6,74.9,0.1,0.8,29.46,-81.2966666667,,9.0,
Wayne Gallman,46.4,179.2,1.2,7.8,59.7,0.1,0.9,29.89,-80.8666666667,99.0,9.4,17.0
C.J. Spiller,30.6,119.6,0.8,12.5,96.3,0.7,0.8,28.99,-81.7666666667,81.0,22.8,-25.0
Andre Ellington,24.8,100.2,0.5,15.0,131.1,0.5,0.1,28.93,-81.8266666667,,8.0,
Chris Carson,34.1,142.2,1.0,9.9,81.5,0.3,1.1,27.97,-82.7866666667,76.0,14.0,13.0
Alfred Blue,44.3,175.6,0.7,9.0,59.2,0.2,0.9,27.08,-83.6766666667,106.0,10.5,12.0
Mike Tolbert,31.8,124.6,0.9,9.2,67.8,0.4,0.2,26.64,-84.1166666667,,11.8,
Aaron Ripkowski,21.2,97.9,1.5,7.4,54.8,0.4,0.9,24.87,-85.8866666667,,8.6,
Elijah Hood,34.6,144.3,1.3,5.2,40.7,0.2,1.5,24.5,-86.2566666667,88.0,20.5,15.0
Lance Dunbar,24.3,94.9,0.4,13.2,104.6,0.3,0.4,23.35,-87.4066666667,108.0,15.4,8.0
Aaron Jones,31.2,123.1,0.9,6.2,49.9,0.1,0.1,23.1,-87.6566666667,75.0,12.0,-17.0
Malcolm Brown,34.7,127.4,0.7,8.5,64.9,0.1,0.4,23.23,-87.5266666667,105.0,10.2,6.0
John Kuhn,9.9,29.8,1.8,10.4,63.0,0.4,0.0,22.48,-88.2766666667,,11.5,
Kerwynn Williams,24.8,121.3,0.8,6.6,52.5,0.1,0.8,21.18,-89.5766666667,,12.4,
Raheem Mostert,26.9,115.8,0.8,4.1,28.0,0.2,1.8,16.78,-93.9766666667,,19.0,
Jeremy McNichols,24.2,97.5,0.5,4.5,34.2,0.0,0.0,16.17,-94.5866666667,83.0,20.3,-6.0
Andre Williams,28.3,104.5,0.6,2.0,17.0,0.1,0.0,16.35,-94.4066666667,,15.5,
De'Angelo Henderson,24.5,95.5,0.4,3.9,37.3,0.0,0.1,15.48,-95.2766666667,66.0,16.4,-5.0
Matt Asiata,15.6,57.9,0.8,5.8,45.9,0.0,0.1,14.98,-95.7766666667,,19.5,
Fitzgerald Toussaint,23.1,90.8,0.3,5.3,42.5,0.0,0.1,14.93,-95.8266666667,104.0,12.5,-15.0
Brian Hill,21.6,87.2,0.5,2.6,21.2,0.1,0.1,14.24,-96.5166666667,,13.6,
Kenjon Barner,22.3,84.3,0.4,5.0,37.4,0.2,1.0,13.77,-96.9866666667,96.0,21.2,-28.0
Andy Janovich,5.3,27.2,0.6,6.7,53.7,0.1,0.0,12.29,-98.4666666667,,13.3,
Kenneth Farrow,19.6,69.6,0.5,4.6,31.1,0.0,0.2,12.67,-98.0866666667,,12.9,
Jamize Olawale,9.8,38.4,0.3,6.5,58.6,0.2,0.0,12.7,-98.0566666667,,11.9,
Cameron Artis-Payne,16.1,64.2,0.7,1.0,12.3,0.0,0.1,11.65,-99.1066666667,101.0,14.2,-6.0
Terron Ward,16.2,66.5,0.3,3.1,27.1,0.0,0.1,10.96,-99.7966666667,,9.2,
Ka'Deem Carey,17.7,68.3,0.3,2.2,18.7,0.0,0.1,10.3,-100.456666667,,21.7,
Dwayne Washington,17.4,63.5,0.3,3.5,22.5,0.0,0.1,10.2,-100.556666667,,19.2,
Travaris Cadet,3.3,13.7,0.0,10.9,81.0,0.1,0.1,9.87,-100.886666667,,12.9,
Lorenzo Taliaferro,13.7,49.3,0.3,4.5,30.6,0.1,0.1,10.19,-100.566666667,,17.4,
Fozzy Whittaker,12.1,51.5,0.2,4.3,33.6,0.0,0.1,9.51,-101.246666667,,6.7,
Tyler Ervin,5.4,20.8,0.1,6.7,55.1,0.2,0.0,9.39,-101.366666667,,30.4,
Alex Collins,14.2,57.5,0.2,2.5,22.5,0.0,0.3,8.6,-102.156666667,,11.6,
Brandon Wilds,12.2,44.5,0.3,2.6,22.3,0.0,0.1,8.28,-102.476666667,,22.2,
Shaun Draughn,11.1,35.8,0.1,4.4,35.2,0.1,0.1,8.1,-102.656666667,102.0,13.0,-10.0
Devante Mays,10.0,41.0,0.3,2.0,16.0,0.1,0.1,7.9,-102.856666667,,2.5,
Darrel Young,4.4,18.6,0.2,3.9,33.7,0.2,0.0,7.63,-103.126666667,,4.0,
Corey Grant,10.5,42.3,0.3,1.2,12.3,0.2,0.2,8.06,-102.696666667,,21.6,
Mack Brown,9.0,39.0,0.4,2.2,14.4,0.0,0.1,7.54,-103.216666667,,22.5,
Peyton Barber,10.7,45.0,0.3,2.0,14.3,0.0,0.2,7.33,-103.426666667,,37.6,
Patrick DiMarco,5.0,18.0,0.1,5.2,39.5,0.1,0.0,6.95,-103.806666667,,11.8,
Josh Ferguson,9.3,28.5,0.1,5.6,40.5,0.0,0.2,7.1,-103.656666667,,31.0,
John Crockett,10.0,40.0,0.2,2.0,12.0,0.1,0.1,6.8,-103.956666667,,,
Kapri Bibbs,9.2,39.2,0.1,1.7,18.4,0.1,0.1,6.76,-103.996666667,,11.2,
Derek Watt,3.9,15.9,0.2,3.5,38.6,0.0,0.0,6.65,-104.106666667,,6.0,
Joe Banyard,9.8,33.6,0.1,3.7,21.8,0.0,0.0,6.14,-104.616666667,,36.0,
Akeem Hunt,6.5,32.0,0.1,2.1,14.0,0.0,0.1,5.0,-105.756666667,,16.7,
Khalfani Muhammad,8.3,30.8,0.1,1.3,9.6,0.1,0.1,5.04,-105.716666667,,14.2,
Jalston Fowler,5.0,16.3,0.1,2.5,23.5,0.1,0.0,5.18,-105.576666667,,13.0,
T.J. Logan,8.0,29.5,0.2,1.5,11.5,0.1,0.1,5.7,-105.056666667,107.0,28.8,-36.0
Knile Davis,8.8,29.2,0.0,2.6,17.7,0.0,0.1,4.49,-106.266666667,109.0,10.9,-45.0
Brandon Bolden,3.9,13.9,0.0,2.5,20.1,0.2,0.2,4.2,-106.556666667,,47.1,
Rod Smith,3.4,12.0,0.1,2.4,16.5,0.1,0.0,4.05,-106.706666667,,31.3,
Juwan Thompson,6.8,24.3,0.2,1.6,9.9,0.0,0.3,4.02,-106.736666667,,24.0,
Troymaine Pope,8.0,27.0,0.1,1.0,9.0,0.0,0.1,4.0,-106.756666667,,24.5,
Keith Smith,4.2,16.1,0.2,2.2,14.2,0.0,0.0,4.23,-106.526666667,,,
James Develin,3.2,10.2,0.1,2.9,22.5,0.0,0.0,3.87,-106.886666667,,28.5,
Daniel Lasco,6.3,21.7,0.1,2.3,13.6,0.0,0.1,3.93,-106.826666667,90.0,24.4,-47.0
Jay Prosch,2.8,9.9,0.1,2.5,21.7,0.0,0.0,3.76,-106.996666667,,14.0,
Dan Vitale,3.1,11.1,0.1,2.5,16.2,0.0,0.0,3.33,-107.426666667,,12.7,
Marcus Murphy,5.0,18.0,0.1,1.0,8.0,0.0,0.2,2.8,-107.956666667,,,
Anthony Sherman,3.1,12.3,0.0,1.6,10.1,0.0,0.0,2.24,-108.516666667,,13.5,
Taiwan Jones,2.0,5.0,0.0,1.0,14.0,0.1,0.2,2.1,-108.656666667,,,
Aaron Green,2.0,7.0,0.0,1.0,9.0,0.0,0.0,1.6,-109.156666667,,18.8,
Marquez Williams,2.0,7.0,0.0,1.0,7.0,0.0,0.0,1.4,-109.356666667,,,
Sam Rogers,2.0,5.0,0.0,1.0,6.0,0.0,0.0,1.1,-109.656666667,,,
Michael Burton,1.0,1.0,0.0,1.0,8.0,0.1,0.2,1.1,-109.656666667,,,
Storm Johnson,8.4,35.7,0.3,5.5,42.1,0.0,0.0,9.58,-101.176666667,,12.5,
Senorise Perry,8.4,35.7,0.3,5.5,42.1,0.0,0.0,9.58,-101.176666667,,,
Austin Johnson,8.3,33.8,0.1,3.8,30.4,0.0,0.0,7.02,-103.736666667,,,
Mike Davis,1.6,4.7,0.0,9.1,66.6,0.0,0.0,7.13,-103.626666667,,,
Matt Jones,6.7,27.9,0.0,2.0,22.8,0.0,0.0,5.07,-105.686666667,93.0,13.4,0.0
Terrell Watson,8.0,33.9,0.2,3.2,21.3,0.0,0.0,6.72,-104.036666667,,18.0,
D.J. Foster,12.0,45.9,0.2,2.7,18.6,0.0,0.0,7.65,-103.106666667,,36.5,
Byron Marshall,8.3,32.8,0.2,3.3,19.4,0.0,0.0,6.42,-104.336666667,,17.6,
Joe Kerridge,4.4,14.7,0.1,2.8,16.6,0.0,0.0,3.73,-107.026666667,,,
