Player,ATT,RUSH YDS,RUSH TDS,REC,REC YDS,REC TDS,FL,Points,Value,ADP,STD DEV
Stefon Diggs,2.1,12.2,0.0,85.3,968.5,4.8,0.7,125.47,9.62666666667,28.0,5.7
Willie Snead,0.0,0.0,0.0,73.7,951.4,5.3,0.9,125.14,9.29666666667,32.0,5.1
Martavis Bryant,1.8,10.5,0.1,57.2,851.3,6.4,1.0,123.18,7.33666666667,24.0,6.4
Jamison Crowder,2.4,10.6,0.0,74.3,913.6,5.1,1.3,120.42,4.57666666667,31.0,5.7
Brandon Marshall,0.0,0.0,0.0,65.7,839.2,5.9,0.9,117.52,1.67666666667,30.0,6.4
Pierre Garcon,0.0,0.0,0.0,73.9,910.0,4.5,0.7,116.6,0.756666666667,36.0,6.1
Randall Cobb,5.5,32.8,0.1,71.1,793.1,5.7,0.7,115.99,0.146666666667,35.0,5.8
DeSean Jackson,0.8,4.8,0.0,54.1,864.6,4.9,0.7,114.94,-0.903333333333,33.0,5.6
Kenny Britt,0.3,1.0,0.0,62.5,867.0,5.0,1.2,114.4,-1.44333333333,43.0,6.5
Eric Decker,0.0,0.0,0.0,59.3,784.4,6.1,0.9,113.24,-2.60333333333,37.0,6.0
Tyrell Williams,0.0,0.0,0.0,54.6,814.9,5.3,0.8,111.69,-4.15333333333,41.0,6.8
Mike Wallace,2.9,16.6,0.0,64.6,831.5,4.6,0.6,111.21,-4.63333333333,46.0,6.4
Cameron Meredith,0.9,7.6,0.1,66.7,845.0,4.7,2.0,110.06,-5.78333333333,,
Donte Moncrief,1.3,5.5,0.0,61.4,724.9,6.2,0.7,108.84,-7.00333333333,38.0,6.4
Jeremy Maclin,0.8,4.6,0.0,70.3,842.0,4.2,0.7,108.46,-7.38333333333,39.0,6.5
Rishard Matthews,0.1,0.7,0.0,54.8,776.2,5.4,1.3,107.49,-8.35333333333,47.0,7.1
Adam Thielen,2.3,12.3,0.0,63.8,806.3,4.5,1.1,106.66,-9.18333333333,45.0,5.2
Jordan Matthews,0.3,2.0,0.0,64.1,775.3,4.9,0.7,105.73,-10.1133333333,49.0,6.3
Marvin Jones,0.6,1.1,0.0,52.8,754.6,4.7,0.2,103.37,-12.4733333333,48.0,6.1
Corey Coleman,3.2,17.8,0.1,60.9,760.1,4.2,0.7,102.19,-13.6533333333,42.0,5.0
Robby Anderson,2.2,16.3,0.0,57.5,780.4,4.0,1.3,101.07,-14.7733333333,58.0,11.2
John Brown,1.7,9.5,0.0,52.1,725.5,4.1,0.7,96.7,-19.1433333333,44.0,8.7
Corey Davis,0.0,0.0,0.0,50.6,686.6,4.5,0.3,95.06,-20.7833333333,40.0,10.0
Chris Hogan,2.3,14.8,0.1,46.1,690.8,4.2,0.6,95.16,-20.6833333333,52.0,16.6
Sterling Shepard,2.0,11.3,0.0,57.1,656.6,4.8,0.7,94.19,-21.6533333333,50.0,6.8
Cole Beasley,0.7,1.8,0.0,64.9,716.3,4.0,0.9,94.01,-21.8333333333,54.0,10.0
Zay Jones,0.3,2.5,0.0,51.2,671.7,3.8,0.3,89.62,-26.2233333333,53.0,10.6
Kenny Stills,0.0,0.0,0.0,38.2,609.5,4.8,0.2,89.35,-26.4933333333,66.0,7.0
Mohamed Sanu,1.2,6.9,0.1,53.9,625.6,4.5,1.1,88.65,-27.1933333333,61.0,9.3
Tyler Lockett,3.9,35.2,0.2,45.1,627.1,3.4,0.2,87.43,-28.4133333333,57.0,6.6
Allen Hurns,0.3,1.5,0.0,47.0,615.4,4.2,0.3,86.29,-29.5533333333,68.0,8.2
Taylor Gabriel,3.4,24.5,0.1,39.3,578.4,4.3,0.2,86.29,-29.5533333333,56.0,6.7
Torrey Smith,0.1,1.0,0.0,43.9,627.4,3.9,0.2,85.84,-30.0033333333,75.0,11.3
Breshad Perriman,1.2,5.5,0.0,45.5,638.9,3.5,0.1,85.24,-30.6033333333,69.0,8.1
Devin Funchess,0.0,0.0,0.0,38.8,576.1,4.4,0.2,83.61,-32.2333333333,71.0,8.7
Marqise Lee,4.3,24.1,0.1,49.1,612.6,2.8,1.0,79.07,-36.7733333333,72.0,7.0
Josh Doctson,0.0,0.0,0.0,40.3,564.4,3.3,0.3,75.64,-40.2033333333,65.0,8.4
Kenny Golladay,0.0,0.0,0.0,42.0,528.0,3.6,0.2,74.0,-41.8433333333,60.0,12.9
Terrance Williams,0.0,0.0,0.0,39.3,560.6,3.2,0.6,74.06,-41.7833333333,88.0,10.3
Kevin White,0.7,1.8,0.0,44.7,544.0,3.2,0.3,73.18,-42.6633333333,62.0,9.5
Chris Conley,0.0,0.0,0.0,44.5,530.4,2.8,0.2,69.44,-46.4033333333,86.0,9.5
Marquise Goodwin,0.5,2.9,0.0,34.6,508.1,2.8,0.2,67.5,-48.3433333333,104.0,13.6
ArDarius Stewart,0.5,1.5,0.0,40.3,518.4,2.7,0.3,67.59,-48.2533333333,67.0,11.9
Tavon Austin,20.6,123.6,0.8,38.9,389.1,2.1,1.3,66.07,-49.7733333333,76.0,9.6
John Ross,2.8,13.7,0.0,38.4,485.9,2.7,0.3,65.56,-50.2833333333,55.0,10.7
Brandon LaFell,0.3,0.3,0.0,37.7,493.3,2.8,0.2,65.76,-50.0833333333,82.0,10.9
Robert Woods,0.0,0.3,0.0,40.6,485.1,2.6,0.3,63.54,-52.3033333333,79.0,13.3
Seth Roberts,0.0,0.1,0.0,33.6,416.8,3.6,0.2,62.89,-52.9533333333,105.0,12.0
Nelson Agholor,2.3,12.3,0.1,41.1,459.4,2.3,0.8,59.97,-55.8733333333,87.0,12.7
Curtis Samuel,12.5,59.7,0.3,29.9,383.7,2.4,0.3,59.94,-55.9033333333,77.0,9.1
Kendall Wright,1.0,4.9,0.0,35.6,437.3,2.4,0.2,58.22,-57.6233333333,,13.6
Laquon Treadwell,0.5,1.3,0.0,35.2,414.4,2.5,0.3,55.97,-59.8733333333,89.0,9.4
Tyler Boyd,1.1,8.0,0.0,37.1,429.5,2.1,0.7,54.95,-60.8933333333,91.0,10.2
Jeremy Kerley,0.5,2.9,0.0,40.2,441.1,1.9,0.5,54.8,-61.0433333333,106.0,12.0
Eli Rogers,0.4,3.0,0.0,31.0,396.4,2.5,0.2,54.54,-61.3033333333,100.0,9.7
Cooper Kupp,0.3,0.5,0.0,36.4,429.1,1.9,0.3,53.76,-62.0833333333,59.0,14.6
Travis Benjamin,1.2,5.4,0.0,30.1,418.8,2.3,1.7,52.82,-63.0233333333,85.0,10.5
