Player,ATT,RUSH YDS,RUSH TDS,REC,REC YDS,REC TDS,FL,Points,Value,ADP,STD DEV
Jace Billingsley,0.0,0.0,0.0,4.5,56.5,0.0,0.0,5.65,-110.193333333,,20.4
Paul McRoberts,0.0,0.0,0.0,5.4,51.8,0.1,0.0,5.78,-110.063333333,,2.0
Isaiah McKenzie,0.0,0.0,0.0,3.0,44.5,0.2,0.1,5.45,-110.393333333,,35.7
Alex Erickson,0.0,0.0,0.0,3.9,47.0,0.1,0.1,5.1,-110.743333333,,11.5
Amara Darboh,0.0,0.0,0.0,3.7,43.7,0.1,0.0,4.97,-110.873333333,,35.2
Geremy Davis,0.0,0.0,0.0,5.0,44.4,0.1,0.0,5.04,-110.803333333,,7.0
Josh Malone,0.0,0.0,0.0,3.0,40.5,0.2,0.0,5.25,-110.593333333,,27.8
Jakeem Grant,0.1,0.5,0.0,3.0,40.1,0.2,0.4,4.46,-111.383333333,,59.7
Johnny Holton,0.7,3.2,0.0,3.0,38.0,0.1,0.3,4.12,-111.723333333,,20.4
De'Anthony Thomas,0.2,1.0,0.0,4.0,31.3,0.1,0.1,3.63,-112.213333333,,
Rashawn Scott,0.0,0.0,0.0,1.0,9.0,0.0,0.0,0.9,-114.943333333,,65.6
