RNK,Player,C/A,YDS,TD,INT,RUSH,YDS.1,TD.1,REC,YDS.2,TD.2,Points
86,Nelson Agholor,0/0,0,0,0,4.0,25.4,0.1,37.9,427.7,2.4,98.2
87,Will Fuller,0/0,0,0,0,0.0,0.0,0.0,35.0,466.2,2.4,96.6
88,John Ross,0/0,0,0,0,2.2,13.6,0.1,33.6,476.6,2.3,96.6
89,Chris Conley,0/0,0,0,0,0.0,0.0,0.0,37.6,432.9,2.5,95.6
90,Jeremy Kerley,0/0,0,0,0,1.9,11.6,0.0,38.9,448.3,1.6,95.1
91,Seth Roberts,0/0,0,0,0,0.0,0.0,0.0,32.7,410.4,3.3,94.0
92,Jaron Brown,0/0,0,0,0,0.0,0.0,0.0,32.1,430.7,2.5,90.2
93,Travis Benjamin,0/0,0,0,0,2.1,13.0,0.0,30.4,418.4,2.2,87.7
94,Eli Rogers,0/0,0,0,0,0.0,0.0,0.0,33.3,410.0,2.1,87.7
95,Paul Richardson,0/0,0,0,0,0.0,0.0,0.0,30.4,400.9,2.4,85.3
96,Jalin Marshall,0/0,0,0,0,0.0,0.0,0.0,32.7,408.0,1.7,85.3
97,Brandon LaFell,0/0,0,0,0,0.0,0.0,0.0,31.3,386.2,2.3,83.9
98,ArDarius Stewart,0/0,0,0,0,0.0,0.0,0.0,32.2,407.6,1.8,83.5
99,Adam Humphries,0/0,0,0,0,4.1,25.7,0.1,29.5,309.3,1.6,74.6
100,Malcolm Mitchell,0/0,0,0,0,0.0,0.0,0.0,26.2,319.6,2.4,72.7
101,Jermaine Kearse,0/0,0,0,0,0.0,0.0,0.0,23.2,321.5,2.7,71.5
102,Ricardo Louis,0/0,0,0,0,0.0,0.0,0.0,27.7,319.2,1.3,67.5
103,Dede Westbrook,0/0,0,0,0,0.0,0.0,0.0,22.9,280.2,1.3,59.3
104,Brandon Coleman,0/0,0,0,0,0.0,0.0,0.0,19.8,265.0,2.2,59.3
105,Chris Godwin,0/0,0,0,0,0.0,0.0,0.0,20.8,245.8,1.7,55.3
106,Chris Harper,0/0,0,0,0,0.0,0.0,0.0,20.9,266.5,1.1,54.4
107,Chad Williams,0/0,0,0,0,0.0,0.0,0.0,18.4,241.5,1.4,50.9
108,Michael Campanaro,0/0,0,0,0,5.7,36.0,0.1,17.1,184.4,0.9,47.6
109,Aldrick Robinson,0/0,0,0,0,3.8,23.2,0.1,14.4,239.1,0.9,46.9
110,Cordarrelle Patterson,0/0,0,0,0,12.1,98.6,0.3,13.2,132.6,0.9,46.4
111,Michael Floyd,0/0,0,0,0,0.0,0.0,0.0,15.8,230.8,1.3,46.4
112,Brice Butler,0/0,0,0,0,0.0,0.0,0.0,14.1,195.7,1.8,44.8
113,Jaelen Strong,0/0,0,0,0,0.0,0.0,0.0,16.9,218.1,1.0,44.4
114,Taywan Taylor,0/0,0,0,0,0.0,0.0,0.0,14.7,183.2,1.3,40.8
115,Justin Hardy,0/0,0,0,0,0.0,0.0,0.0,14.3,160.8,1.5,39.6
116,Mack Hollins,0/0,0,0,0,0.0,0.0,0.0,14.6,176.2,0.9,37.4
117,Dontrelle Inman,0/0,0,0,0,0.0,0.0,0.0,13.3,178.8,1.0,37.2
118,Ryan Grant,0/0,0,0,0,0.0,0.0,0.0,13.6,170.8,0.9,36.1
119,Phillip Dorsett,0/0,0,0,0,1.9,11.7,0.1,11.7,154.9,1.0,34.5
120,Mike Williams,0/0,0,0,0,0.0,0.0,0.0,11.4,151.4,1.2,34.0
121,Rashard Higgins,0/0,0,0,0,0.0,0.0,0.0,12.6,151.2,0.7,31.8
122,Ryan Switzer,0/0,0,0,0,4.4,27.4,0.2,10.0,112.8,0.6,31.4
123,Chris Moore,0/0,0,0,0,1.5,9.6,0.0,11.4,134.4,0.7,30.9
124,JuJu Smith-Schuster,0/0,0,0,0,0.0,0.0,0.0,10.6,129.2,1.0,29.4
125,TJ Jones,0/0,0,0,0,0.0,0.0,0.0,9.8,134.4,0.7,28.2
126,Trent Taylor,0/0,0,0,0,0.0,0.0,0.0,10.1,129.8,0.5,27.6
127,Russell Shepard,0/0,0,0,0,0.0,0.0,0.0,8.9,125.1,0.8,26.0
128,Rod Streater,0/0,0,0,0,0.0,0.0,0.0,8.5,117.6,0.5,23.3
129,Bruce Ellington,0/0,0,0,0,0.0,0.0,0.0,8.5,115.8,0.5,23.2
130,Andre Roberts,0/0,0,0,0,0.0,0.0,0.0,6.2,74.1,0.6,22.6
131,Demarcus Robinson,0/0,0,0,0,0.0,0.0,0.0,7.7,93.1,0.5,20.0
132,Sammie Coates,0/0,0,0,0,0.0,0.0,0.0,6.0,97.3,0.6,19.7
