RNK,Player,C/A,YDS,TD,INT,RUSH,YDS.1,TD.1,REC,YDS.2,TD.2,Points
102,John Kuhn,0/0,0,0,0,8.0,27.6,0.8,4.9,41.4,0.4,18.5
103,Lorenzo Taliaferro,0/0,0,0,0,13.2,55.5,0.3,4.7,36.2,0.2,17.0
104,De'Angelo Henderson,0/0,0,0,0,23.7,93.8,0.6,2.1,17.2,0.0,16.5
105,Dan Vitale,0/0,0,0,0,0.0,0.0,0.0,7.9,60.9,0.3,15.9
106,Andy Janovich,0/0,0,0,0,3.9,13.3,0.2,6.4,51.7,0.3,15.7
107,Fozzy Whittaker,0/0,0,0,0,17.8,75.7,0.5,1.9,16.8,0.1,15.3
108,Jeremy McNichols,0/0,0,0,0,17.7,70.4,0.4,2.5,19.6,0.1,14.2
109,C.J. Spiller,0/0,0,0,0,8.3,32.4,0.3,4.0,32.8,0.1,12.6
110,Darrel Young,0/0,0,0,0,4.4,18.6,0.2,3.9,33.7,0.2,11.7
111,Chris Carson,0/0,0,0,0,14.3,55.5,0.4,1.8,15.4,0.1,11.4
112,Patrick DiMarco,0/0,0,0,0,4.2,14.2,0.3,3.6,30.5,0.2,10.7
113,Akeem Hunt,0/0,0,0,0,8.8,37.4,0.2,2.0,17.7,0.0,9.8
115,Terron Ward,0/0,0,0,0,7.8,32.3,0.3,2.1,17.4,0.1,9.5
116,Jeremy Langford,0/0,0,0,0,9.9,38.3,0.4,1.8,14.5,0.0,9.5
117,Rod Smith,0/0,0,0,0,4.1,13.4,0.3,2.4,19.8,0.2,8.3
118,Khalfani Muhammad,0/0,0,0,0,8.9,34.5,0.2,1.8,14.8,0.1,8.3
120,Kapri Bibbs,0/0,0,0,0,7.5,30.3,0.2,2.1,17.5,0.0,8.1
122,Anthony Sherman,0/0,0,0,0,0.0,0.0,0.0,3.8,29.9,0.2,7.9
123,Daniel Lasco,0/0,0,0,0,4.0,15.8,0.2,2.4,20.7,0.1,7.5
124,Kenjon Barner,0/0,0,0,0,4.1,17.3,0.1,2.0,17.0,0.1,7.3
125,Corey Grant,0/0,0,0,0,4.3,16.5,0.1,2.0,16.2,0.0,6.0
126,Matthew Dayes,0/0,0,0,0,11.2,43.4,0.3,0.0,0.0,0.0,5.8
127,Derek Watt,0/0,0,0,0,2.1,6.8,0.1,2.1,17.0,0.1,5.8
129,James Develin,0/0,0,0,0,0.0,0.0,0.0,2.3,17.9,0.2,5.0
130,Fitzgerald Toussaint,0/0,0,0,0,8.0,31.9,0.2,0.0,0.0,0.0,4.7
132,Devante Mays,0/0,0,0,0,7.4,29.0,0.2,0.0,0.0,0.0,3.8
134,Cameron Artis-Payne,0/0,0,0,0,4.4,18.7,0.1,0.0,0.0,0.0,2.7
135,Jay Prosch,0/0,0,0,0,4.4,14.4,0.2,0.0,0.0,0.0,2.6
136,Michael Burton,0/0,0,0,0,2.0,6.6,0.1,0.0,0.0,0.0,1.3
150,Cedric Peerman,0/0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
153,Ryan Mathews,0/0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
154,Dexter McCluster,0/0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
