Player,Recpt,Yd,Avg,TD,FL,Points
Chris Harper,7.0,73.0,10.4,0.1,0.3,3.0
Shane Wynn,4.0,49.0,12.2,0.2,0.1,3.0
Walt Powell,7.0,77.0,11.0,0.1,0.4,2.8
Trent Taylor,4.0,46.0,11.5,0.3,0.1,2.6
Brenton Bersin,6.0,72.0,12.0,0.1,0.5,2.6
Maurice Harris,6.0,56.0,9.3,0.1,0.1,2.4
Rashard Higgins,5.0,54.0,10.8,0.1,0.1,2.4
Jake Lampman,3.0,38.0,12.7,0.2,0.1,2.0
Brittan Golden,3.0,29.0,9.7,0.3,0.4,2.0
Demarcus Robinson,2.0,27.0,13.5,0.2,0.1,2.0
De'Anthony Thomas,4.0,22.0,5.5,0.1,0.1,2.0
Corey Fuller,4.0,59.0,14.8,0.1,0.5,1.6
Cody Latimer,4.0,45.0,11.2,0.1,0.1,1.4
Tommylee Lewis,4.0,46.0,11.5,0.1,0.1,1.4
Jakeem Grant,2.0,27.0,13.5,0.2,0.4,1.4
Chris Moore,2.0,16.0,8.0,0.0,0.1,0.8
James Wright,4.0,29.0,7.2,0.0,0.1,0.8
Alex Erickson,3.0,33.0,11.0,0.0,0.1,0.8
Frankie Hammond,2.0,22.0,11.0,0.1,0.4,0.8
Bradley Marquez,2.0,23.0,11.5,0.0,0.1,0.8
Aaron Burbridge,2.0,29.0,14.5,0.0,0.3,0.4
