"Running Backs 2017 Standard Stats -- Average"
"","Rushing","Receiving","Misc"
"Player","Att","Yd","Avg","TD","Recpt","Yd","Avg","TD","FL","FPTS"
"Jerome Felton, BUF","2.0","6.0","3.0","0.0","3.0","28.0","9.3","0.0","0.0","1.0"
"Jordan Todman, IND","3.0","17.0","5.7","0.0","0.0","0.0","0.0","0.0","0.2","0.6"
"Josh Ferguson, IND","3.0","4.0","1.3","0.0","4.0","26.0","6.5","0.0","0.2","0.6"
"Akeem Hunt, HOU","5.0","28.0","5.6","0.0","2.0","12.0","6.0","0.0","0.2","0.6"
"Michael Burton, DET","1.0","0.0","0.0","0.0","1.0","7.0","7.0","0.1","0.1","0.4"
"Malcolm Johnson, SEA","1.0","2.0","2.0","0.0","5.0","40.0","8.0","0.0","0.4","0.2"
"Keith Smith, DAL","2.0","5.0","2.5","0.0","2.0","11.0","5.5","0.0","0.0","0.0"
"Anthony Sherman, KC","0.0","0.0","0.0","0.0","2.0","9.0","4.5","0.0","0.0","0.0"
"Paul Lasike, CHI","2.0","9.0","4.5","0.0","1.0","5.0","5.0","0.0","0.0","0.0"
"Roosevelt Nix-Jones, PIT","0.0","0.0","0.0","0.0","1.0","4.0","4.0","0.0","0.0","0.0"
"Sam Rogers, LAR","2.0","5.0","2.5","0.0","1.0","5.0","5.0","0.0","0.0","0.0"
"Jay Prosch, HOU","3.0","8.0","2.7","0.0","0.0","2.0","0.0","0.0","0.0","0.0"
"Danny Vitale, CLE","1.0","3.0","3.0","0.0","2.0","15.0","7.5","0.0","0.0","0.0"
"Malcolm Brown, LAR","5.0","12.0","2.4","0.0","1.0","11.0","11.0","0.0","0.2","-0.4"
"Pages: 1 2 3 4  All"
